mediaeval medieval
muslims muslim
modelling modeling
modeling modelling
uganda ugandan
tutsi tutsis
tutsis tutsi
restriction limitations
restriction limitation
handled handles
auditing audits
marginalised marginalized
guaranteed guarantees
aging ageing
solving resolving
solve resolving
solve resolve
solving resolve
billions millions
millions billions
geometrical geometric
resolving solving
resolving solve
resolve solve
resolve solving
fertilisation fertilization
audits auditing
targets targeting
geographic geographical
jewelry jewellery
logistic logistical
muslim muslims
humankind mankind
guarantees guaranteed
billions trillions
trillions billions
phosphorous phosphorus
billion millions
billions million
billion million
handles handled
launching launch
banning bans
organized organised
geographical geographic
jewellery jewelry
marginalized marginalised
anaesthesia anesthesia
bans banning
fighting fights
north northern
civilised civilized
millions billion
million billions
million billion
reviewed reviews
judgement judgment
auditing audits
auditing audit
resource resources
forwards forward
intentionally deliberately
organised organized
civilized civilised
topographical topographic
telephones phones
archeological archaeological
medieval mediaeval
ageing aging
diarrhea diarrhoea
aging ageing
counseling counselling
violate contravene
fulfill fulfil
northern north
diarrhoea diarrhea
phones telephones
targeting targets
privatisation privatization
proportionately proportionally
explosives explosive
guaranteeing guarantee
transferred transfers
northeast northeastern
trillion billions
trillion billion
presented presents
nationalistic nationalist
phone telephone
decreased decreases
fights fighting
scanning scan
preventative preventive
fulfill fulfil
resources resource
achievements accomplishments
undernourished malnourished
reviews reviewed
civilization civilisation
neutralise neutralize
inhumane inhuman
stabilise stabilize
delayed delays
behaviors behaviours
behaviors behaviour
restriction constraint
concerned concerns
accomplishments achievements
continually constantly
anesthesia anaesthesia
reviewed reviews
stabilisation stabilization
computerized computerised
subsidized subsidised
flooding flood
monitoring monitor
phosphorus phosphorous
regulation regulations
asymmetrical asymmetric
expressly explicitly
continually continuously
waiting waits
regulations regulation
privatization privatisation
geometric geometrical
slaughtering slaughter
patrolling patrol
unsolved unresolved
civilisation civilization
behaviours behaviors
behaviour behaviors
harvesting harvest
serb serbian
openings open
specialised specialized
disenchantment disillusionment
transfers transferred
telephone phone
finishing finishes
presents presented
waits waiting
wait waiting
northeastern northeast
logistical logistic
authorised authorized
displayed displays
resolving solving
resolves solving
resolving solves
resolves solves
stabilize stabilise
decreases decreased
focussed focused
inhuman inhumane
washes washing
specialized specialised
principally primarily
servers server
unquestionably undoubtedly
protection protected
reviews reviewed
launch launching
bravely courageously
asymmetric asymmetrical
phone telephone
delays delayed
synchronisation synchronization
overlapping overlap
billions trillion
billion trillion
liter litre
topographic topographical
nonetheless nevertheless
continuously continually
dancing dance
waiting waits
waiting wait
apologise apologize
counselling counseling
discontent dissatisfaction
unauthorised unauthorized
litres liters
betting bets
deliberately intentionally
arrested arrests
downloading download
identifying identify
recognisable recognizable
agreement agreements
harvest harvesting
presenting presents
auctioning auction
concerns concerned
permitting permits
globalisation globalization
refugees refugee
forecasting forecast
collaborate cooperate
crucial critical
fulfil fulfill
waits waiting
flood flooding
resolved solved
bindings binds
regulation regulations
open openings
aluminum aluminium
capitalistic capitalist
authorization authorisation
finishes finishing
resolved solved
resolve solved
resolve solving
resolving solved
resolved solving
resolving solving
agreements agreement
broadcast broadcasting
outmoded outdated
critical crucial
serbian serb
stabilization stabilisation
separated separate
withdrawal withdraws
mobilisation mobilization
argentinian argentine
registered registers
shared shares
regulations regulation
constantly continually
favorable favourable
rethinking rethink
hunts hunting
hunt hunting
authorisation authorization
recognizable recognisable
judgment judgement
deposited deposits
solving resolving
solving resolves
solves resolving
solves resolves
kidnappings kidnap
displays displayed
intrinsically inherently
subordinated subordinate
binding binds
bindings binds
proportionally proportionately
slaughter slaughtering
disquieting disturbing
presents presenting
gynecologist gynaecologist
tsunamis tsunami
preventative preventive
monitor monitoring
imperialistic imperialist
ludicrous ridiculous
liters litres
granting grant
granting grants
launched launches
scanning scan
unanticipated unexpected
focused focussed
washing washes
protection protecting
protection protects
scans scanning
scan scanning
resources resource
distrust mistrust
mohamed mohammed
efficiently effectively
fridge refrigerator
permits permitting
symbolize symbolise
analytic analytical
violate infringe
audits auditing
audit auditing
resource resources
granting grants
eastern east
unpardonable unforgivable
refugee refugees
insuperable insurmountable
fighting fight
thawing thaw
unavoidable inevitable
authorized authorised
fertilization fertilisation
bets betting
reporting reports
defenceless defenseless
broadcasting broadcast
patrol patrolling
blackmailing blackmail
donors donor
behavioral behavioural
burned burnt
extraordinarily exceptionally
scan scanning
apologize apologise
protections protect
electrical electric
preventive preventative
courageously bravely
resolving solving
surfing surf
reaffirmed affirmed
withdrawal withdrawn
mechanism mechanisms
protected protection
arrests arrested
archaeological archeological
subsidised subsidized
drastically dramatically
mohammed mohamed
desperation despair
empowering empower
wait waiting
globalization globalisation
malnourished undernourished
adjustment adjustments
downloading download
fulfil fulfill
moveable movable
resumed resumes
coloured colour
effectively efficiently
telephones phoned
telephoned phoned
telephone phones
telephones phones
telephone phoned
telephoned phones
malfunctioning malfunction
withdrawal withdrew
partially partly
solved resolved
surf surfing
neighbour neighbouring
harvesting harvest
behavioural behavioral
inefficient ineffective
dissatisfaction discontent
mankind humankind
defenseless defenceless
unforgivable unpardonable
phone telephone
increased increase
mohamed mohammed
unauthorized unauthorised
mustache moustache
uganda ugandans
uganda ugandan
limiting limits
fertiliser fertilizer
